id,nameFirst,nameLast,time,time2,Food,Beverages,Takeout,Music
ekeenan333,Eldora,Keenan,20,5,{'preference': 2},{'preference': 5},{'preference': 2},{'preference': 5}
adephillip746,Abigail,Dephillips,30,25,{'preference': 4},{'preference': 1},{'preference': 5},{'preference': 1}
lgehrmann308,Lorrine,Gehrmann,20,30,{'preference': 5},{'preference': 4},{'preference': 4},{'preference': 2}
ikritzer696,Ines,Kritzer,25,30,{'preference': 5},{'preference': 2},{'preference': 5},{'preference': 2}
lreaollano477,Lloyd,Reaollano,25,5,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 1}
esalter975,Emil,Salter,15,20,{'preference': 2},{'preference': 1},{'preference': 1},{'preference': 5}
alawson631,Alden,Lawson,10,30,{'preference': 5},{'preference': 2},{'preference': 4},{'preference': 1}
dacothley472,Denise,Acothley,20,10,{'preference': 5},{'preference': 2},{'preference': 1},{'preference': 4}
sjarosh514,Sebastian,Jarosh,30,10,{'preference': 3},{'preference': 5},{'preference': 1},{'preference': 5}
ekocik419,Enrique,Kocik,15,5,{'preference': 5},{'preference': 1},{'preference': 3},{'preference': 3}
topiela819,Toby,Opiela,25,5,{'preference': 1},{'preference': 1},{'preference': 1},{'preference': 1}
ocarrother664,Orval,Carrothers,30,5,{'preference': 5},{'preference': 5},{'preference': 5},{'preference': 3}
mwelburn835,Macy,Welburn,15,10,{'preference': 1},{'preference': 3},{'preference': 5},{'preference': 3}
ltigner19,Lera,Tigner,20,30,{'preference': 2},{'preference': 5},{'preference': 1},{'preference': 3}
sbahrs15,Saran,Bahrs,5,15,{'preference': 3},{'preference': 3},{'preference': 3},{'preference': 3}
lmatthies443,Lesley,Matthies,5,5,{'preference': 1},{'preference': 4},{'preference': 3},{'preference': 2}
rdieringer263,Robbi,Dieringer,15,25,{'preference': 1},{'preference': 5},{'preference': 5},{'preference': 2}
lmagnotti134,Lorenzo,Magnotti,30,15,{'preference': 3},{'preference': 4},{'preference': 2},{'preference': 2}
iromo738,Ivette,Romo,30,10,{'preference': 4},{'preference': 2},{'preference': 3},{'preference': 1}
tvlashi823,Tyler,Vlashi,10,20,{'preference': 4},{'preference': 5},{'preference': 1},{'preference': 3}
mturnpaugh873,Marquetta,Turnpaugh,15,20,{'preference': 4},{'preference': 5},{'preference': 3},{'preference': 1}
sgiessinge575,Stewart,Giessinger,10,20,{'preference': 4},{'preference': 5},{'preference': 1},{'preference': 3}
smaduena663,Sunshine,Maduena,5,10,{'preference': 1},{'preference': 3},{'preference': 5},{'preference': 3}
dmccort273,Derek,Mccort,25,20,{'preference': 2},{'preference': 2},{'preference': 1},{'preference': 5}
aperrier125,Audra,Perrier,20,15,{'preference': 1},{'preference': 3},{'preference': 2},{'preference': 2}
smirisola704,Solomon,Mirisola,15,30,{'preference': 4},{'preference': 3},{'preference': 3},{'preference': 4}
lolrich974,Lamonica,Olrich,20,25,{'preference': 1},{'preference': 2},{'preference': 2},{'preference': 1}
rmarchio185,Rigoberto,Marchio,5,15,{'preference': 3},{'preference': 3},{'preference': 5},{'preference': 2}
tkowalkows341,Travis,Kowalkowski,10,10,{'preference': 4},{'preference': 5},{'preference': 1},{'preference': 5}
tmatrey315,Teressa,Matrey,20,5,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 5}
ffairey569,Franklin,Fairey,20,5,{'preference': 3},{'preference': 4},{'preference': 3},{'preference': 2}
phandwerk359,Phyliss,Handwerk,20,10,{'preference': 4},{'preference': 5},{'preference': 3},{'preference': 3}
bgschwind293,Barbie,Gschwind,30,30,{'preference': 4},{'preference': 2},{'preference': 5},{'preference': 2}
oguelff480,Ollie,Guelff,5,25,{'preference': 4},{'preference': 3},{'preference': 5},{'preference': 2}
adepinto44,Avery,Depinto,25,10,{'preference': 5},{'preference': 2},{'preference': 4},{'preference': 1}
kliapis489,Korey,Liapis,25,10,{'preference': 2},{'preference': 1},{'preference': 4},{'preference': 3}
nsearcy293,Nathanael,Searcy,25,10,{'preference': 3},{'preference': 4},{'preference': 2},{'preference': 3}
mnicholl745,Moses,Nicholl,20,5,{'preference': 5},{'preference': 4},{'preference': 3},{'preference': 5}
mwindfield788,Minh,Windfield,10,25,{'preference': 4},{'preference': 1},{'preference': 4},{'preference': 1}
rfurbush964,Raymundo,Furbush,15,30,{'preference': 5},{'preference': 1},{'preference': 4},{'preference': 3}
ljablonski272,Lyle,Jablonski,20,30,{'preference': 3},{'preference': 3},{'preference': 2},{'preference': 2}
ckeilholtz751,Catharine,Keilholtz,15,10,{'preference': 1},{'preference': 5},{'preference': 3},{'preference': 1}
pmcwhinnie98,Pansy,Mcwhinnie,30,10,{'preference': 2},{'preference': 4},{'preference': 1},{'preference': 5}
lwaldie661,Lilia,Waldie,15,20,{'preference': 3},{'preference': 2},{'preference': 2},{'preference': 2}
ryusko163,Russ,Yusko,10,25,{'preference': 2},{'preference': 1},{'preference': 5},{'preference': 5}
bzangger373,Billi,Zangger,25,20,{'preference': 2},{'preference': 3},{'preference': 5},{'preference': 1}
bgogel393,Bula,Gogel,25,10,{'preference': 1},{'preference': 2},{'preference': 2},{'preference': 1}
bcoverdell500,Bruno,Coverdell,15,10,{'preference': 4},{'preference': 2},{'preference': 2},{'preference': 2}
ekostelnik569,Eustolia,Kostelnik,25,20,{'preference': 2},{'preference': 3},{'preference': 1},{'preference': 3}
bheckel453,Betsy,Heckel,20,25,{'preference': 2},{'preference': 2},{'preference': 4},{'preference': 3}
fthomspon64,Filomena,Thomspon,10,20,{'preference': 5},{'preference': 5},{'preference': 5},{'preference': 1}
rmarrett215,Raymonde,Marrett,15,25,{'preference': 3},{'preference': 4},{'preference': 2},{'preference': 5}
dheinbaugh389,Derek,Heinbaugh,30,15,{'preference': 1},{'preference': 4},{'preference': 4},{'preference': 2}
lzierenber450,Lanelle,Zierenberg,15,25,{'preference': 5},{'preference': 1},{'preference': 2},{'preference': 5}
kdehoyos14,Korey,Dehoyos,25,10,{'preference': 3},{'preference': 5},{'preference': 5},{'preference': 3}
jwichland40,Jillian,Wichland,15,5,{'preference': 2},{'preference': 4},{'preference': 5},{'preference': 1}
bbribiesca873,Bobbi,Bribiesca,15,20,{'preference': 2},{'preference': 4},{'preference': 3},{'preference': 2}
acolquitt769,Anglea,Colquitt,5,25,{'preference': 3},{'preference': 4},{'preference': 5},{'preference': 3}
ppoehler335,Perry,Poehler,20,10,{'preference': 2},{'preference': 4},{'preference': 1},{'preference': 3}
jbeato399,Jerald,Beato,5,15,{'preference': 4},{'preference': 3},{'preference': 4},{'preference': 1}
bpeatross495,Bud,Peatross,20,30,{'preference': 2},{'preference': 5},{'preference': 2},{'preference': 1}
bmuramoto505,Breanna,Muramoto,10,30,{'preference': 3},{'preference': 2},{'preference': 2},{'preference': 4}
wbosworth906,William,Bosworth,20,15,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 1}
vcorde621,Vikki,Corde,30,15,{'preference': 2},{'preference': 1},{'preference': 5},{'preference': 2}
twackenhut133,Tamiko,Wackenhut,20,15,{'preference': 5},{'preference': 1},{'preference': 3},{'preference': 1}
cbenya474,Concha,Benya,30,10,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 3}
tweispfenn958,Tanya,Weispfenning,30,30,{'preference': 3},{'preference': 2},{'preference': 1},{'preference': 3}
cdenhartog489,Chelsie,Denhartog,25,25,{'preference': 5},{'preference': 3},{'preference': 2},{'preference': 3}
cpylant5,Corina,Pylant,5,10,{'preference': 2},{'preference': 4},{'preference': 3},{'preference': 2}
lnorder850,Lupita,Norder,30,10,{'preference': 4},{'preference': 1},{'preference': 2},{'preference': 1}
llambka312,Lawanda,Lambka,5,25,{'preference': 1},{'preference': 5},{'preference': 5},{'preference': 5}
dbujnowski282,Dahlia,Bujnowski,10,20,{'preference': 3},{'preference': 4},{'preference': 4},{'preference': 4}
ahaverland971,Avril,Haverland,30,5,{'preference': 5},{'preference': 1},{'preference': 3},{'preference': 2}
wvanderwal791,Wilfred,Vanderwal,25,10,{'preference': 3},{'preference': 3},{'preference': 3},{'preference': 1}
iwyly805,Iola,Wyly,15,20,{'preference': 2},{'preference': 2},{'preference': 3},{'preference': 3}
skeiser160,Shandra,Keiser,5,30,{'preference': 5},{'preference': 5},{'preference': 4},{'preference': 3}
glorette611,Garry,Lorette,5,10,{'preference': 4},{'preference': 2},{'preference': 2},{'preference': 2}
srous646,Shay,Rous,30,20,{'preference': 5},{'preference': 1},{'preference': 1},{'preference': 5}
etuell791,Emeline,Tuell,30,5,{'preference': 5},{'preference': 3},{'preference': 5},{'preference': 1}
jcather911,Janene,Cather,10,25,{'preference': 4},{'preference': 1},{'preference': 5},{'preference': 4}
mkasahara639,Margareta,Kasahara,15,5,{'preference': 2},{'preference': 4},{'preference': 5},{'preference': 4}
jvillacort583,Johnie,Villacorta,10,30,{'preference': 3},{'preference': 3},{'preference': 3},{'preference': 5}
dboerm101,Delilah,Boerm,10,15,{'preference': 1},{'preference': 4},{'preference': 2},{'preference': 4}
rcorkins792,Rhea,Corkins,15,30,{'preference': 5},{'preference': 2},{'preference': 3},{'preference': 2}
mbelluomin595,Marlon,Belluomini,15,15,{'preference': 5},{'preference': 2},{'preference': 1},{'preference': 4}
gboykins834,Glen,Boykins,25,15,{'preference': 5},{'preference': 1},{'preference': 2},{'preference': 5}
hkannel714,Hisako,Kannel,25,5,{'preference': 2},{'preference': 3},{'preference': 1},{'preference': 1}
gcerrato309,Grant,Cerrato,30,20,{'preference': 1},{'preference': 2},{'preference': 3},{'preference': 5}
bmorin383,Bernardina,Morin,15,10,{'preference': 5},{'preference': 1},{'preference': 1},{'preference': 4}
mkornbluth941,Margie,Kornbluth,30,10,{'preference': 2},{'preference': 3},{'preference': 3},{'preference': 4}
dleidig146,Dayna,Leidig,30,10,{'preference': 4},{'preference': 4},{'preference': 1},{'preference': 4}
bmacksey24,Beata,Macksey,25,5,{'preference': 3},{'preference': 2},{'preference': 2},{'preference': 4}
draisbeck798,Dick,Raisbeck,25,25,{'preference': 1},{'preference': 1},{'preference': 5},{'preference': 1}
jtaback639,Jeanmarie,Taback,20,30,{'preference': 4},{'preference': 4},{'preference': 4},{'preference': 1}
vallnutt992,Vernetta,Allnutt,10,10,{'preference': 5},{'preference': 4},{'preference': 3},{'preference': 1}
fzahl988,Felisa,Zahl,15,15,{'preference': 5},{'preference': 3},{'preference': 2},{'preference': 2}
mnizo174,Magen,Nizo,10,20,{'preference': 3},{'preference': 4},{'preference': 5},{'preference': 3}
warenales982,Weston,Arenales,10,20,{'preference': 2},{'preference': 3},{'preference': 1},{'preference': 5}
gheu970,Gaylord,Heu,10,5,{'preference': 2},{'preference': 2},{'preference': 1},{'preference': 3}
hgilkerson11,Harold,Gilkerson,5,5,{'preference': 5},{'preference': 3},{'preference': 5},{'preference': 1}
ahatteyer421,Antonio,Hatteyer,15,5,{'preference': 1},{'preference': 2},{'preference': 4},{'preference': 3}
hhanley426,Hoyt,Hanley,5,25,{'preference': 1},{'preference': 4},{'preference': 5},{'preference': 4}
jsolak913,Jacqueline,Solak,25,5,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 1}
eleander91,Euna,Leander,10,20,{'preference': 1},{'preference': 1},{'preference': 3},{'preference': 1}
eturturo740,Edward,Turturo,20,20,{'preference': 5},{'preference': 4},{'preference': 3},{'preference': 3}
dmuns982,Debera,Muns,5,10,{'preference': 1},{'preference': 3},{'preference': 2},{'preference': 3}
cprowse107,Celine,Prowse,25,10,{'preference': 1},{'preference': 4},{'preference': 5},{'preference': 5}
halummoott692,Hubert,Alummoottil,5,30,{'preference': 2},{'preference': 5},{'preference': 4},{'preference': 3}
etrim260,Elias,Trim,5,10,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 1}
npalakiko556,Noble,Palakiko,10,10,{'preference': 4},{'preference': 4},{'preference': 4},{'preference': 2}
lmess256,Lino,Mess,20,10,{'preference': 5},{'preference': 3},{'preference': 3},{'preference': 1}
jkman907,Jackson,Kman,15,30,{'preference': 1},{'preference': 2},{'preference': 4},{'preference': 1}
tkees308,Troy,Kees,25,20,{'preference': 2},{'preference': 4},{'preference': 2},{'preference': 5}
dbently869,Damien,Bently,5,20,{'preference': 1},{'preference': 5},{'preference': 3},{'preference': 3}
ederry307,Erin,Derry,15,30,{'preference': 3},{'preference': 3},{'preference': 5},{'preference': 2}
mdalleva840,Mohammed,Dalleva,15,5,{'preference': 2},{'preference': 5},{'preference': 4},{'preference': 2}
nnott152,Nathaniel,Nott,5,15,{'preference': 2},{'preference': 2},{'preference': 5},{'preference': 4}
egummersal942,Ehtel,Gummersall,20,5,{'preference': 5},{'preference': 1},{'preference': 2},{'preference': 3}
bweich944,Bill,Weich,5,15,{'preference': 4},{'preference': 5},{'preference': 5},{'preference': 4}
ogoulette568,Oscar,Goulette,30,15,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 3}
awarriner681,Austin,Warriner,15,25,{'preference': 5},{'preference': 5},{'preference': 2},{'preference': 1}
wcapilla496,Winston,Capilla,20,25,{'preference': 1},{'preference': 4},{'preference': 3},{'preference': 2}
aselem736,Avelina,Selem,5,10,{'preference': 4},{'preference': 4},{'preference': 3},{'preference': 4}
ekeo15,Ella,Keo,5,15,{'preference': 3},{'preference': 2},{'preference': 5},{'preference': 5}
dyarbough489,Dee,Yarbough,25,5,{'preference': 3},{'preference': 4},{'preference': 4},{'preference': 4}
iredus954,Irwin,Redus,5,25,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 1}
tthomaston11,Truman,Thomaston,5,10,{'preference': 1},{'preference': 2},{'preference': 4},{'preference': 3}
rfarrant981,Rochelle,Farrant,10,25,{'preference': 3},{'preference': 2},{'preference': 5},{'preference': 4}
lhinderer71,Loise,Hinderer,10,10,{'preference': 3},{'preference': 2},{'preference': 1},{'preference': 4}
amonty937,Alisha,Monty,5,30,{'preference': 1},{'preference': 3},{'preference': 3},{'preference': 2}
mbarnhurst824,Mirta,Barnhurst,30,30,{'preference': 5},{'preference': 2},{'preference': 4},{'preference': 4}
lpisarski686,Larue,Pisarski,20,20,{'preference': 5},{'preference': 3},{'preference': 4},{'preference': 2}
eelian776,Emeline,Elian,15,20,{'preference': 3},{'preference': 3},{'preference': 2},{'preference': 2}
mgirres283,Mauricio,Girres,20,5,{'preference': 5},{'preference': 1},{'preference': 5},{'preference': 1}
lhowat783,Luann,Howat,15,15,{'preference': 5},{'preference': 3},{'preference': 1},{'preference': 1}
bbogue738,Bobbi,Bogue,10,25,{'preference': 3},{'preference': 2},{'preference': 2},{'preference': 4}
nrickenbau786,Noe,Rickenbaugh,15,10,{'preference': 1},{'preference': 5},{'preference': 1},{'preference': 2}
hcronk153,Harland,Cronk,15,10,{'preference': 3},{'preference': 3},{'preference': 4},{'preference': 2}
hskillen543,Hank,Skillen,20,5,{'preference': 4},{'preference': 5},{'preference': 4},{'preference': 5}
esandoral148,Edmundo,Sandoral,20,5,{'preference': 4},{'preference': 2},{'preference': 1},{'preference': 1}
ckanter100,Cruz,Kanter,25,25,{'preference': 1},{'preference': 2},{'preference': 4},{'preference': 5}
prizzo372,Phyliss,Rizzo,10,20,{'preference': 2},{'preference': 2},{'preference': 2},{'preference': 5}
dcreek952,Diane,Creek,20,15,{'preference': 5},{'preference': 2},{'preference': 2},{'preference': 1}
mmaughan156,Matt,Maughan,5,10,{'preference': 3},{'preference': 5},{'preference': 3},{'preference': 3}
wramie210,Whitney,Ramie,15,10,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 5}
mleibfried739,Malissa,Leibfried,30,5,{'preference': 1},{'preference': 4},{'preference': 5},{'preference': 1}
rlamax713,Rashad,Lamax,15,25,{'preference': 1},{'preference': 4},{'preference': 1},{'preference': 4}
jroberta941,Josie,Roberta,10,15,{'preference': 1},{'preference': 5},{'preference': 5},{'preference': 4}
amolski721,Augustus,Molski,15,15,{'preference': 5},{'preference': 2},{'preference': 1},{'preference': 4}
lbulfer708,Latoya,Bulfer,10,25,{'preference': 4},{'preference': 1},{'preference': 5},{'preference': 5}
mutsler660,Marcy,Utsler,20,10,{'preference': 5},{'preference': 3},{'preference': 1},{'preference': 2}
achaim793,Adalberto,Chaim,10,5,{'preference': 1},{'preference': 3},{'preference': 5},{'preference': 5}
equale122,Emory,Quale,30,15,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 1}
rstamer313,Reed,Stamer,15,25,{'preference': 5},{'preference': 5},{'preference': 1},{'preference': 2}
gwimbish774,Gloria,Wimbish,30,5,{'preference': 3},{'preference': 5},{'preference': 2},{'preference': 3}
hfolgar547,Hilton,Folgar,20,30,{'preference': 1},{'preference': 1},{'preference': 2},{'preference': 2}
nquader296,Norman,Quader,30,5,{'preference': 4},{'preference': 5},{'preference': 4},{'preference': 2}
mkiszka324,Marna,Kiszka,15,25,{'preference': 3},{'preference': 2},{'preference': 1},{'preference': 5}
yhyser54,Young,Hyser,25,25,{'preference': 5},{'preference': 4},{'preference': 3},{'preference': 4}
sleflores802,Sid,Leflores,10,10,{'preference': 5},{'preference': 5},{'preference': 4},{'preference': 4}
bokura47,Britt,Okura,20,30,{'preference': 4},{'preference': 4},{'preference': 2},{'preference': 5}
auxa770,Antione,Uxa,15,30,{'preference': 2},{'preference': 2},{'preference': 1},{'preference': 5}
cfriberg718,Cammy,Friberg,30,5,{'preference': 5},{'preference': 5},{'preference': 2},{'preference': 1}
nfabert888,Nyla,Fabert,25,20,{'preference': 5},{'preference': 5},{'preference': 5},{'preference': 4}
ndarcangel226,Nellie,Darcangelo,10,25,{'preference': 2},{'preference': 3},{'preference': 5},{'preference': 4}
bburkowski768,Bret,Burkowski,30,15,{'preference': 4},{'preference': 2},{'preference': 3},{'preference': 1}
bsovocool191,Betsey,Sovocool,10,30,{'preference': 1},{'preference': 3},{'preference': 5},{'preference': 2}
ngrawe69,Nigel,Grawe,10,15,{'preference': 3},{'preference': 3},{'preference': 1},{'preference': 5}
npeachey551,Neil,Peachey,30,20,{'preference': 3},{'preference': 2},{'preference': 1},{'preference': 1}
thorelick426,Trent,Horelick,10,15,{'preference': 4},{'preference': 4},{'preference': 3},{'preference': 4}
sarizola118,Shannon,Arizola,30,15,{'preference': 5},{'preference': 1},{'preference': 4},{'preference': 3}
mpomar969,Mattie,Pomar,25,25,{'preference': 3},{'preference': 5},{'preference': 5},{'preference': 4}
jfrankart387,Janee,Frankart,15,25,{'preference': 2},{'preference': 5},{'preference': 1},{'preference': 4}
kwessel622,Kim,Wessel,10,25,{'preference': 3},{'preference': 5},{'preference': 1},{'preference': 1}
mmagno986,Marilu,Magno,20,5,{'preference': 3},{'preference': 1},{'preference': 3},{'preference': 1}
ccriddle475,Christen,Criddle,10,25,{'preference': 1},{'preference': 1},{'preference': 2},{'preference': 4}
ekala105,Ellena,Kala,20,30,{'preference': 3},{'preference': 5},{'preference': 4},{'preference': 1}
kfrichette645,Krishna,Frichette,15,15,{'preference': 3},{'preference': 3},{'preference': 3},{'preference': 1}
svranich466,Savanna,Vranich,25,25,{'preference': 3},{'preference': 1},{'preference': 4},{'preference': 4}
rmonios948,Reiko,Monios,20,15,{'preference': 3},{'preference': 1},{'preference': 1},{'preference': 1}
gbarsotti248,Galen,Barsotti,5,30,{'preference': 4},{'preference': 5},{'preference': 3},{'preference': 4}
adewing626,Adrian,Dewing,5,5,{'preference': 1},{'preference': 4},{'preference': 4},{'preference': 4}
lishizu164,Lorenzo,Ishizu,25,30,{'preference': 3},{'preference': 4},{'preference': 3},{'preference': 4}
cburns461,Curt,Burns,10,30,{'preference': 2},{'preference': 2},{'preference': 5},{'preference': 1}
efrenner740,Eugenio,Frenner,15,30,{'preference': 5},{'preference': 5},{'preference': 5},{'preference': 5}
dcorning757,Dong,Corning,20,15,{'preference': 2},{'preference': 2},{'preference': 4},{'preference': 3}
ykathel414,Yun,Kathel,25,25,{'preference': 4},{'preference': 2},{'preference': 3},{'preference': 1}
ngenrich495,Nicolas,Genrich,10,5,{'preference': 2},{'preference': 5},{'preference': 5},{'preference': 2}
