id,nameFirst,nameLast,origin,likert.valuesFriendship,likert.valuesFamily,likert.valuesCommunity,likert.valuesSelf,likert.valuesFaith,likert.valuesEducation,likert.valuesHealth,likert.valuesStrength,semDiff.dogCat,semDiff.donutMunchkins,semDiff.cakePie,semDiff.steelersPirates
csuitor7,Caroll,Suitor,MN,1,4,1,2,2,5,1,4,3,4,1,5
vwinders990,Vergie,Winders,KS,5,1,2,2,4,2,2,5,3,3,5,3
tstayner951,Tracy,Stayner,MA,3,3,4,4,5,1,4,3,4,3,4,5
jburtt226,Jeffrey,Burtt,AZ,5,4,5,1,2,5,5,4,1,2,4,1
smallett379,Salvatore,Mallett,PA,3,1,3,5,4,3,2,4,3,1,2,3
rstempert124,Rashida,Stempert,CO,5,1,4,3,1,5,2,4,3,1,2,2
kglogowski6,Karren,Glogowski,AL,4,3,4,3,3,2,4,4,3,2,1,5
rlansberry628,Richard,Lansberry,OK,4,2,4,3,1,4,4,2,4,4,2,4
vhynd605,Vickey,Hynd,NY,4,1,5,2,2,5,2,5,2,1,4,3
emago812,Elijah,Mago,WV,1,5,4,5,1,1,1,5,1,4,1,3
hviviano556,Harry,Viviano,PA,2,3,3,4,5,3,3,2,5,2,3,3
mhaggin831,Moses,Haggin,AR,1,3,3,1,4,1,2,5,1,3,5,1
hmaguire43,Hyo,Maguire,WA,4,4,3,4,2,3,3,3,5,3,5,1
asequeira199,Audra,Sequeira,AZ,5,5,4,1,4,1,4,2,2,4,4,1
jraheem789,Jewel,Raheem,MN,2,1,5,3,1,4,2,4,1,3,4,3
fkalina902,Francis,Kalina,WA,2,5,4,3,4,1,1,4,1,3,4,2
ainglese998,Anton,Inglese,CT,1,2,3,2,5,4,2,4,4,3,2,4
gciotti202,Gale,Ciotti,OK,5,3,3,2,1,4,5,1,3,1,1,5
ojave765,Oneida,Jave,WI,1,2,4,2,5,4,5,4,5,2,2,4
ekiecker223,Elvin,Kiecker,NE,3,5,4,2,3,1,2,1,3,5,5,4
rmarcos534,Randell,Marcos,CO,2,2,3,4,2,1,2,1,5,1,2,4
wgallagher145,Walter,Gallagher,MD,2,2,4,4,4,4,2,5,1,1,3,2
lsiverling958,Lakeshia,Siverling,VA,4,1,5,5,1,1,4,1,4,3,4,3
tguerrini612,Tatiana,Guerrini,CA,2,1,5,1,4,1,2,2,5,2,3,4
nveerkamp942,Nella,Veerkamp,NY,5,4,2,2,1,1,4,5,1,4,2,1
ddiec977,Dorla,Diec,NY,2,5,5,3,4,4,5,3,1,1,3,5
khelmes926,Kimberlie,Helmes,NY,2,5,1,4,5,3,4,4,2,5,3,1
olortie431,Ozell,Lortie,HI,4,3,4,5,3,1,1,3,1,2,3,5
mbechtol2,Mozella,Bechtol,WY,5,1,4,1,1,3,3,1,4,2,4,5
moffermann554,Morgan,Offermann,NE,4,5,2,5,4,2,2,2,4,4,1,4
rkanoff638,Roxanne,Kanoff,NY,4,4,5,5,1,5,1,2,5,5,4,5
okemery874,Olen,Kemery,AK,4,1,5,5,2,4,2,1,5,3,2,5
sbednarowi375,Sonny,Bednarowicz,NJ,3,2,4,4,4,2,3,3,4,3,2,4
nblouir59,Nadine,Blouir,CT,4,1,2,5,2,2,4,2,2,3,1,2
mtrimnal923,Mohamed,Trimnal,KS,4,1,2,2,3,4,5,1,3,3,4,1
mdekorne111,Myrna,Dekorne,TN,2,4,3,5,4,2,5,3,4,3,5,3
dgalven442,Daina,Galven,WA,4,2,3,5,3,3,2,2,5,4,2,2
gbellard332,Gregorio,Bellard,MS,2,5,4,3,1,4,5,2,5,4,5,5
raw941,Racquel,Aw,KS,1,5,5,1,3,3,5,5,3,3,4,4
nmesi906,Noah,Mesi,NH,5,3,4,3,3,3,1,2,3,3,1,5
korlikowsk989,Katina,Orlikowski,NM,4,4,3,2,1,1,3,5,1,5,3,5
rbaig778,Richelle,Baig,NJ,2,1,4,1,1,5,2,3,3,3,4,5
mnasser71,Monnie,Nasser,SC,2,5,2,2,1,3,3,2,5,4,3,2
eblaha580,Ela,Blaha,LA,1,1,4,2,1,4,5,4,2,5,4,1
amccaffery408,Antoinette,Mccaffery,TX,5,3,2,2,2,3,3,4,5,5,1,4
joberle575,Julieta,Oberle,CA,5,1,5,5,3,2,2,5,5,5,4,5
shaumesser122,Santana,Haumesser,PA,1,1,4,4,1,5,5,1,5,4,5,4
othate909,Oralia,Thate,GA,4,4,2,3,4,2,2,5,5,4,3,2
krasband721,Kirk,Rasband,OH,4,5,1,3,3,3,3,4,2,4,2,3
lvilt987,Lenita,Vilt,KY,4,1,4,3,2,4,5,1,2,3,3,1
asuren970,Angel,Suren,FL,1,5,4,1,1,4,2,5,2,5,2,3
bpedraja953,Bettie,Pedraja,LA,1,5,5,1,2,1,2,3,3,3,1,5
dlinder666,Darnell,Linder,TX,1,5,4,2,2,1,3,3,4,5,2,5
shaverland58,Shemeka,Haverland,OH,5,1,2,4,2,1,3,1,1,4,4,1
lshreffler903,Lina,Shreffler,WA,2,5,2,1,2,1,3,4,5,1,2,2
sscigliano143,Sid,Scigliano,RI,3,2,1,1,4,1,4,5,3,3,1,3
vbermudez907,Voncile,Bermudez,ND,4,5,5,3,3,1,2,3,1,2,5,1
toeftger298,Tamie,Oeftger,WA,1,1,5,5,1,3,1,2,4,3,4,3
agralak980,Arden,Gralak,NE,1,3,1,1,2,1,5,1,1,1,3,3
lwolle840,Lashawna,Wolle,WI,2,2,5,4,3,5,1,1,3,4,3,2
joffill573,Jacquline,Offill,MN,2,2,1,4,2,3,5,4,3,4,3,3
rkanzler783,Roxana,Kanzler,CO,5,4,2,3,3,1,5,3,2,4,1,4
cbalkcom14,Carmine,Balkcom,NC,5,1,3,2,4,2,4,2,2,3,1,1
kdiflorio26,Kennith,Diflorio,AR,1,4,1,4,5,2,3,1,4,5,1,4
nsiders465,Niesha,Siders,CT,3,2,4,5,1,4,5,5,5,4,5,1
blorincz804,Brittani,Lorincz,WI,2,2,3,1,5,4,5,5,4,5,1,2
kmoad282,Kandis,Moad,MN,2,4,3,5,1,5,1,2,4,3,2,3
kmagginson736,Kirby,Magginson,OR,4,2,2,5,4,4,2,5,1,5,5,2
slavigna401,Shirl,Lavigna,AK,2,1,5,2,5,4,5,4,2,4,4,2
onate603,Odis,Nate,TN,4,1,3,3,2,5,5,1,1,2,3,2
ekrance6,Ema,Krance,AK,5,4,2,1,2,1,4,2,5,3,4,4
showe838,Samella,Howe,NE,5,5,2,2,3,3,5,3,1,3,2,4
lmarke218,Lizzie,Marke,GA,3,1,2,2,2,4,1,2,3,1,4,4
nviren352,Newton,Viren,MS,2,2,3,2,1,5,2,2,5,3,3,4
mwholey993,Mellisa,Wholey,FL,1,2,3,2,1,1,3,3,4,3,1,4
mkremmel885,Merilyn,Kremmel,MT,4,3,2,1,3,5,3,1,2,4,1,3
lpanelli906,Lamont,Panelli,HI,3,3,3,3,1,1,4,4,4,4,2,4
skaps179,Samual,Kaps,MD,4,4,3,2,4,1,4,2,4,5,4,4
lmcray630,Lyman,Mcray,WV,4,2,2,5,1,3,3,5,4,3,5,4
cschuff118,Chuck,Schuff,LA,5,1,1,4,1,3,1,2,3,2,4,4
gquerido448,Gregg,Querido,SD,4,2,1,4,1,2,3,3,1,5,3,3
mcassion370,Mia,Cassion,AK,3,4,1,4,3,5,4,2,1,1,1,1
jdecatur52,Jefferson,Decatur,IA,5,1,4,5,4,1,1,2,2,5,4,5
sbodziony13,Shayne,Bodziony,MS,4,1,4,3,4,2,2,4,2,2,4,2
adefouw698,Aleen,Defouw,RI,4,1,1,5,4,5,3,4,1,3,2,5
sfairman503,Stacey,Fairman,SD,2,5,5,2,2,1,2,1,3,1,1,5
seggleston826,Sudie,Eggleston,NM,4,3,3,1,3,1,5,1,5,5,5,2
vparron293,Val,Parron,TN,2,4,3,4,5,4,5,2,5,5,3,3
asessum678,Allison,Sessum,ME,2,1,3,2,2,5,3,5,5,4,3,5
sagramonte654,Sherril,Agramonte,ND,5,1,2,5,1,1,3,2,4,3,1,4
pmiyata474,Phillip,Miyata,ID,4,1,4,5,2,1,3,3,2,4,1,4
lanne162,Ludie,Anne,MO,3,3,2,4,1,1,3,4,4,4,2,4
jhermann877,Josue,Hermann,AL,5,3,2,5,1,4,2,4,4,5,2,5
jgunlock376,Jeneva,Gunlock,NM,5,5,5,5,4,2,1,1,4,3,1,4
ohysong138,Olen,Hysong,OK,2,4,1,3,3,4,3,2,2,1,1,5
rhelman683,Raylene,Helman,MO,5,1,1,5,4,2,2,4,1,5,4,4
abayers631,Adolfo,Bayers,ME,4,5,2,3,1,1,1,2,4,4,3,2
awalen762,Adam,Walen,OR,3,5,2,1,5,1,3,2,3,4,5,5
dwallett79,Dennis,Wallett,VA,3,2,3,2,3,5,4,3,4,2,4,5
chaneline91,Cleo,Haneline,CO,5,2,5,1,3,5,5,5,4,3,1,2
lebenstein929,Lesa,Ebenstein,MT,3,4,4,3,1,5,2,4,2,4,5,2
rreyner874,Ross,Reyner,NE,5,4,3,2,3,4,4,3,4,3,4,3
chrapski154,Christoper,Hrapski,OH,1,2,4,2,3,2,3,2,4,3,3,1
abeylotte98,Artie,Beylotte,NY,1,5,3,5,4,2,1,4,1,1,3,3
esalvitti480,Erin,Salvitti,OR,5,5,5,4,4,4,1,1,4,5,5,5
msumter3,Mila,Sumter,IA,4,3,3,3,1,5,3,1,3,1,3,5
amaeno162,Anja,Maeno,OH,4,3,5,2,4,5,4,2,3,2,3,1
tlinsky123,Terrell,Linsky,WA,2,1,2,2,5,1,4,5,4,1,3,1
rjimbo941,Ron,Jimbo,SD,3,2,1,4,2,4,1,3,5,4,5,5
kstoneburn546,Kendrick,Stoneburner,OH,3,1,2,5,1,3,2,1,5,4,1,2
shusband691,Santina,Husband,UT,1,1,4,3,3,3,3,4,2,3,1,2
isavoca979,Ivory,Savoca,OK,2,1,4,1,4,5,4,3,5,1,3,5
erobidoux813,Eddy,Robidoux,MO,1,5,1,5,2,5,4,4,1,3,2,3
kroznowski40,Katherin,Roznowski,FL,3,1,4,3,4,3,3,1,3,5,5,3
mbucks726,Manuel,Bucks,OH,3,2,1,3,2,5,4,3,3,2,3,2
ewanders860,Erich,Wanders,NC,1,3,3,2,2,3,1,3,4,4,5,1
mstolinski581,Marquetta,Stolinski,KY,1,2,3,4,3,1,3,4,2,4,5,2
bcisnero227,Barton,Cisnero,SC,3,3,1,5,2,5,3,3,4,1,4,1
rnotowitz229,Rita,Notowitz,KS,3,2,1,5,3,5,3,1,1,2,5,3
npaysour303,Noemi,Paysour,AR,2,2,4,3,1,1,5,1,3,1,1,1
koehrle935,Krystina,Oehrle,OH,3,5,4,4,4,1,2,2,1,4,1,2
abulland240,Aida,Bulland,NY,4,4,5,4,1,2,4,1,3,5,4,3
gpatete187,Galen,Patete,RI,2,5,5,3,2,2,5,5,1,1,1,5
sxia150,Stanford,Xia,SD,5,4,4,3,2,4,3,4,5,3,5,1
rcarsen856,Roland,Carsen,HI,5,5,3,3,3,5,3,1,3,5,5,5
smarcinkie730,Shea,Marcinkiewicz,AK,4,5,2,2,1,2,1,5,4,4,1,4
kschwieter156,Kirk,Schwieterman,ID,3,1,4,3,1,4,3,4,4,2,1,5
rmaudlin457,Regan,Maudlin,NY,2,3,5,5,2,4,3,3,5,2,1,2
fvillane745,Frieda,Villane,ME,2,3,5,1,3,3,5,4,1,3,2,4
pwechter160,Patricia,Wechter,FL,2,5,3,2,4,3,2,4,4,2,2,4
betters710,Booker,Etters,VT,1,3,2,5,4,3,1,5,3,3,5,1
rspiliakos758,Randy,Spiliakos,NH,2,4,1,1,2,2,1,2,2,4,1,4
dheidt898,Dorothea,Heidt,MO,2,4,1,3,4,5,3,2,5,2,1,4
caiuto626,Cherri,Aiuto,VT,4,3,5,2,1,4,5,5,3,2,5,2
ckunkle640,Cathern,Kunkle,SC,1,2,4,2,2,2,3,2,2,4,1,3
tcollins463,Teodora,Collins,WA,4,1,4,5,2,1,5,5,2,2,4,3
fbranstrom593,Felisha,Branstrom,KS,3,3,5,2,3,5,4,1,4,5,4,5
kludkowski841,Kizzie,Ludkowski,ME,4,2,3,4,4,2,3,1,3,5,4,4
aweiler619,Angel,Weiler,NY,1,4,3,5,1,2,5,2,2,1,1,2
swoodert745,Sommer,Woodert,KY,4,5,3,1,5,4,3,1,2,4,3,5
bkiffer192,Belva,Kiffer,AL,5,2,5,4,5,2,5,1,3,1,1,4
cmendillo558,Chelsey,Mendillo,WY,4,2,5,5,3,2,4,3,4,3,4,5
acourteman538,Allen,Courtemanche,OK,4,1,5,2,5,5,4,5,1,4,5,2
sspadafino609,Stefan,Spadafino,AL,5,4,4,5,5,4,1,3,2,2,2,1
lrueda576,Latashia,Rueda,SD,2,1,4,5,3,1,4,3,2,3,2,1
jdzurnak844,Jay,Dzurnak,AR,2,2,5,1,4,2,3,5,3,4,1,1
dmouzas794,Deangelo,Mouzas,SC,1,4,1,5,2,3,4,3,2,5,1,5
dmuck174,Delmar,Muck,RI,3,4,4,2,2,5,4,4,4,4,2,2
hhenton472,Hipolito,Henton,AZ,4,3,5,2,5,1,4,3,5,1,2,3
mgones21,Mitzi,Gones,NJ,3,3,2,4,5,3,4,2,5,1,1,4
vkuc330,Vincenzo,Kuc,OK,3,2,2,1,1,2,2,4,5,3,4,1
pdietzler118,Phillip,Dietzler,MD,3,3,5,2,4,4,3,3,3,2,1,3
jfrezzo548,Jamison,Frezzo,OK,4,1,1,5,3,4,2,1,5,5,2,5
apfrogner550,Ashlyn,Pfrogner,NM,4,4,3,4,2,2,4,5,5,3,1,3
sboshnack241,Stanton,Boshnack,MI,2,1,4,3,2,5,3,3,2,1,3,4
frudnicki961,Fredric,Rudnicki,DE,5,5,1,4,5,5,3,2,5,4,2,5
bsnoozy178,Bruce,Snoozy,VT,5,2,3,3,4,5,4,5,5,2,4,4
lbluel900,Lauren,Bluel,KY,1,5,5,5,3,2,5,4,1,1,4,4
rreason900,Ranee,Reason,GA,1,5,2,5,5,2,3,3,2,1,3,5
lbroeker168,Liane,Broeker,ND,3,1,2,2,1,4,4,3,3,2,4,1
emoskos874,Elaine,Moskos,WV,3,4,5,4,5,3,4,4,4,5,1,3
lesche268,Louie,Esche,SD,5,2,1,4,2,3,1,5,1,2,3,1
lmckisson13,Lenard,Mckisson,OR,3,1,4,2,1,2,4,5,2,2,2,4
rcarnell614,Rosia,Carnell,TN,4,4,3,2,2,3,5,3,5,2,5,5
mschreur952,Melvin,Schreur,ND,4,4,2,4,1,5,2,3,5,1,3,5
carrigo675,Crystle,Arrigo,MS,2,3,4,3,2,1,5,4,4,1,1,1
mtheard719,Margarite,Theard,AZ,3,5,2,1,3,3,1,4,1,5,3,2
jfake641,Jewel,Fake,LA,5,4,3,4,4,1,4,5,4,2,5,2
kallwood385,Kary,Allwood,IA,2,2,2,1,3,3,4,4,4,3,2,2
emccorry645,Ellamae,Mccorry,FL,2,3,5,2,5,4,1,1,3,1,3,2
cshutte542,Chet,Shutte,VA,4,3,4,5,1,4,3,4,5,3,2,1
mcotreau495,Monet,Cotreau,NE,1,4,5,2,1,2,3,5,5,2,2,3
emaltais195,Edmundo,Maltais,PA,1,5,4,3,2,2,4,4,5,5,3,4
bbenintend460,Bruce,Benintendi,RI,2,4,5,2,5,5,1,4,1,5,3,5
jahlo561,Jeneva,Ahlo,NH,1,2,5,5,2,3,4,3,1,5,4,1
cgoulette657,Celine,Goulette,AK,1,1,3,3,1,3,4,4,2,2,1,5
vhouey741,Vida,Houey,TN,5,4,4,2,2,4,1,4,4,3,5,5
oruffalo951,Oscar,Ruffalo,MS,2,3,5,5,3,4,1,1,3,5,5,1
baulder806,Brandon,Aulder,WV,4,5,4,2,5,2,2,5,1,3,5,5
mhaulk929,Marlana,Haulk,NY,3,3,4,4,5,1,2,3,2,5,1,1
lcuen118,Librada,Cuen,CA,1,1,5,2,3,5,2,4,3,4,5,5
lnorred902,Lupe,Norred,OK,3,5,2,5,1,5,1,2,5,3,3,5
jcosby110,Jewel,Cosby,WA,5,5,3,5,4,5,4,4,5,2,5,2
abramall912,Arlie,Bramall,AL,2,3,5,1,5,2,4,3,2,4,3,4
hmclucas385,Hyacinth,Mclucas,MA,1,5,4,5,1,2,2,1,3,3,1,3
nshadler579,Nickolas,Shadler,OH,5,4,4,4,3,4,4,1,4,1,2,2
kzuniga831,Katharina,Zuniga,RI,3,5,1,1,4,2,4,5,1,1,2,5
sleal790,Shawnta,Leal,AL,4,4,4,2,1,5,4,1,2,4,2,5
mrussell472,Marcia,Russell,PA,4,3,3,5,1,1,5,1,1,3,1,3
shamway855,Sammy,Hamway,VT,3,1,5,4,2,5,1,2,3,3,3,2
mbrelje971,Marc,Brelje,UT,2,2,3,4,5,1,4,5,4,5,5,4
ccuva986,Catherin,Cuva,ME,5,1,1,3,5,3,5,4,1,5,5,5
arendler333,Alfonzo,Rendler,HI,5,3,2,5,1,4,5,1,5,1,3,1
vgulledge715,Vicenta,Gulledge,AK,5,2,2,4,4,5,3,2,4,2,5,2
fmarcet158,Franklin,Marcet,CA,2,3,4,4,4,1,2,2,5,5,3,4
lchain873,Leonardo,Chain,NV,1,5,1,3,1,5,5,5,3,1,5,4
dduropan524,Devorah,Duropan,OR,2,4,1,3,5,3,5,3,3,4,4,3
erysavy624,Elissa,Rysavy,KS,1,2,5,4,2,3,5,4,5,2,4,1
bmanteuffe129,Bridgett,Manteuffel,MS,5,5,5,3,2,3,4,1,4,5,2,2
bbrostrom222,Benny,Brostrom,AZ,4,5,1,3,5,4,1,4,1,5,1,1
tozaki582,Theressa,Ozaki,WA,2,1,4,5,1,1,2,3,4,2,1,3
llopes819,Lashaun,Lopes,MT,2,4,1,3,1,4,5,4,4,3,2,3
terker143,Terry,Erker,WY,1,1,3,4,5,3,2,5,2,1,1,5
mantill297,Mignon,Antill,NV,3,1,4,1,5,2,4,2,4,4,2,1
modil754,Mona,Odil,AZ,4,5,3,3,3,5,1,4,1,1,5,1
rjauhar514,Raymon,Jauhar,NM,2,5,4,5,3,5,4,1,3,1,5,5
bshanor922,Brady,Shanor,MT,3,4,5,4,3,5,5,3,1,4,4,1
tmuncrief178,Theda,Muncrief,VT,5,5,3,2,5,2,2,3,2,2,5,5
hgubala288,Han,Gubala,SC,2,5,5,3,3,4,3,2,5,1,1,2
rpecoraro33,Rosie,Pecoraro,IA,5,2,1,1,2,3,5,3,4,1,4,1
apilato400,Angila,Pilato,PA,4,1,3,5,1,2,1,1,4,5,1,2
jarkin216,Jasper,Arkin,SC,3,2,5,4,5,4,3,4,5,5,4,3
dvactor936,Dreama,Vactor,TX,3,1,3,4,1,1,3,3,5,2,1,5
efreitag83,Elmo,Freitag,ND,2,4,5,3,2,1,4,4,5,2,1,4
skillibrew842,Sherwood,Killibrew,LA,2,4,3,5,4,4,3,5,2,3,1,2
mfullford199,Meda,Fullford,OR,4,4,3,4,2,4,4,3,5,3,5,3
bsherrard650,Bridget,Sherrard,NH,3,1,5,2,5,2,4,1,4,5,3,1
lwasden87,Latoyia,Wasden,SC,3,5,3,2,4,3,2,5,1,2,2,4
acheng557,Andera,Cheng,HI,1,4,4,4,1,5,1,1,2,2,2,3
whurns33,Waldo,Hurns,FL,2,2,1,4,5,1,5,1,5,2,5,3
rdenery33,Rocky,Denery,AZ,5,5,2,3,4,5,1,1,2,3,2,4
mmoody160,Mozelle,Moody,UT,2,3,1,5,3,2,4,5,2,3,3,5
