id,nameFirst,nameLast,time,Math,Chemistry,History,Computer Science,French,Biology,Physics
oguimaraes21,Odell,Guimaraes,15,"{'rating': 2, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 2}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 1, 'preference': 5}"
dbub548,Deon,Bub,20,"{'rating': 2, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 1}"
ayuan429,Athena,Yuan,5,"{'rating': 2, 'preference': 2}","{'rating': 2, 'preference': 5}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 2}","{'rating': 3, 'preference': 5}"
tandreas32,Terry,Andreas,25,"{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 1}","{'rating': 5, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 4}"
swarnecke402,Sigrid,Warnecke,30,"{'rating': 3, 'preference': 5}","{'rating': 5, 'preference': 2}","{'rating': 3, 'preference': 1}","{'rating': 5, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 5, 'preference': 4}","{'rating': 4, 'preference': 2}"
dallevato653,Douglass,Allevato,25,"{'rating': 2, 'preference': 5}","{'rating': 5, 'preference': 1}","{'rating': 3, 'preference': 3}","{'rating': 2, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 5}"
bmoudry981,Bernardina,Moudry,25,"{'rating': 2, 'preference': 3}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 5}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 4}","{'rating': 3, 'preference': 5}","{'rating': 2, 'preference': 1}"
mbournes879,Michael,Bournes,30,"{'rating': 5, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 3}","{'rating': 5, 'preference': 4}"
jhanneman147,Jerrod,Hanneman,20,"{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 3}"
btrolinger78,Bernardine,Trolinger,25,"{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 4}","{'rating': 2, 'preference': 1}"
kdones635,Kasie,Dones,15,"{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 5}","{'rating': 5, 'preference': 2}","{'rating': 4, 'preference': 5}","{'rating': 5, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 1, 'preference': 3}"
mmaytorena546,Mohammad,Maytorena,30,"{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 1}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 3}","{'rating': 4, 'preference': 5}","{'rating': 5, 'preference': 5}"
jnapoli417,Julius,Napoli,5,"{'rating': 2, 'preference': 1}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 3}"
lhindson999,Lorenzo,Hindson,30,"{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 4}"
mrobichaud412,Marcel,Robichaud,30,"{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 2}","{'rating': 5, 'preference': 4}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 4, 'preference': 2}"
wforkell986,Wilbur,Forkell,5,"{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 2}","{'rating': 1, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 5, 'preference': 1}","{'rating': 5, 'preference': 2}"
dhaslip755,Dylan,Haslip,30,"{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 2}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 5}"
rhirschi475,Rocky,Hirschi,15,"{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 4}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 3, 'preference': 2}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 2}"
vsealy923,Virgil,Sealy,5,"{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 3}","{'rating': 4, 'preference': 5}"
sschollmei186,Shaun,Schollmeier,30,"{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 3}","{'rating': 2, 'preference': 5}","{'rating': 3, 'preference': 4}"
czettel510,Charissa,Zettel,20,"{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 3}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 5}","{'rating': 3, 'preference': 5}","{'rating': 5, 'preference': 2}","{'rating': 1, 'preference': 3}"
dpetell223,Devorah,Petell,30,"{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 2}"
ledmondson61,Lean,Edmondson,5,"{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 5}","{'rating': 5, 'preference': 4}"
lelpert924,Lucrecia,Elpert,20,"{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 3}"
lright69,Lesley,Right,30,"{'rating': 5, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 2}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 2}"
rbartlone351,Reatha,Bartlone,20,"{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 1}","{'rating': 5, 'preference': 5}"
cmilfort156,Clifford,Milfort,25,"{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 5}","{'rating': 5, 'preference': 1}","{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 5}"
lashbach950,Lauralee,Ashbach,10,"{'rating': 2, 'preference': 3}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 1}","{'rating': 1, 'preference': 2}"
lrheaume502,Leora,Rheaume,5,"{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 2}"
sbibles97,Sunny,Bibles,15,"{'rating': 1, 'preference': 4}","{'rating': 5, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 2}","{'rating': 2, 'preference': 3}"
llondon965,Lakiesha,London,10,"{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 2}","{'rating': 1, 'preference': 5}"
oswicord191,Oswaldo,Swicord,10,"{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 3}","{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 4}"
dgeitz303,Donald,Geitz,30,"{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 1}"
sothon794,Samella,Othon,25,"{'rating': 5, 'preference': 5}","{'rating': 2, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 1}"
sturnmire242,Sharyn,Turnmire,10,"{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 4}"
icowdin767,Ilda,Cowdin,5,"{'rating': 5, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 5, 'preference': 5}","{'rating': 5, 'preference': 4}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 3}"
jgushue364,Jaquelyn,Gushue,20,"{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 2, 'preference': 4}","{'rating': 4, 'preference': 1}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 1}"
tgallagher316,Tyree,Gallagher,10,"{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 5}","{'rating': 2, 'preference': 2}","{'rating': 2, 'preference': 4}","{'rating': 3, 'preference': 2}","{'rating': 1, 'preference': 5}"
llent883,Laveta,Lent,20,"{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 4}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 3}","{'rating': 3, 'preference': 2}"
hfratta796,Hong,Fratta,10,"{'rating': 1, 'preference': 2}","{'rating': 1, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 4}","{'rating': 5, 'preference': 4}"
esammartin643,Emil,Sammartino,25,"{'rating': 1, 'preference': 4}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 1, 'preference': 5}","{'rating': 3, 'preference': 3}"
mredhead40,Monty,Redhead,25,"{'rating': 5, 'preference': 2}","{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 5}","{'rating': 5, 'preference': 1}"
lcoxen383,Loyd,Coxen,5,"{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 3}"
bprescod399,Benny,Prescod,5,"{'rating': 5, 'preference': 4}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 2, 'preference': 2}","{'rating': 3, 'preference': 1}"
bhenard353,Brittanie,Henard,20,"{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 5}","{'rating': 5, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 3}"
rlyness90,Renate,Lyness,5,"{'rating': 5, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 2, 'preference': 2}"
rlevert84,Rodney,Levert,25,"{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 3, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 2}"
nbrucz479,Nanci,Brucz,15,"{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 2}","{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 1}"
rmeryman323,Roselle,Meryman,25,"{'rating': 5, 'preference': 4}","{'rating': 1, 'preference': 3}","{'rating': 2, 'preference': 4}","{'rating': 4, 'preference': 2}","{'rating': 2, 'preference': 3}","{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 2}"
shazelton679,Shawnna,Hazelton,20,"{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 2}"
rkehoe124,Rory,Kehoe,30,"{'rating': 2, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 3}","{'rating': 1, 'preference': 5}","{'rating': 1, 'preference': 3}","{'rating': 5, 'preference': 4}","{'rating': 2, 'preference': 2}"
lgebhart285,Lashanda,Gebhart,30,"{'rating': 3, 'preference': 5}","{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 2}","{'rating': 1, 'preference': 4}","{'rating': 5, 'preference': 2}","{'rating': 3, 'preference': 5}","{'rating': 2, 'preference': 2}"
dblain458,Darron,Blain,30,"{'rating': 5, 'preference': 1}","{'rating': 1, 'preference': 5}","{'rating': 3, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 2}"
iklecha474,Ismael,Klecha,25,"{'rating': 5, 'preference': 4}","{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 2}","{'rating': 4, 'preference': 3}"
cbrensnan204,Carolyn,Brensnan,15,"{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 4}","{'rating': 3, 'preference': 1}"
ccalemine501,Carolin,Calemine,30,"{'rating': 1, 'preference': 3}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 1, 'preference': 5}","{'rating': 4, 'preference': 4}"
geagy198,Garrett,Eagy,5,"{'rating': 4, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 3, 'preference': 3}","{'rating': 4, 'preference': 2}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 2}"
ntibbits856,Numbers,Tibbits,15,"{'rating': 4, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 2, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 5}","{'rating': 5, 'preference': 3}"
mkahana443,Martin,Kahana,10,"{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 4}","{'rating': 1, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 4}"
cpopescu876,Cathleen,Popescu,5,"{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 4}","{'rating': 1, 'preference': 1}","{'rating': 1, 'preference': 3}","{'rating': 3, 'preference': 3}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 5}"
edanley982,Elvin,Danley,30,"{'rating': 5, 'preference': 5}","{'rating': 5, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 3}","{'rating': 5, 'preference': 5}"
gnacke783,Garland,Nacke,10,"{'rating': 4, 'preference': 3}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 4}","{'rating': 3, 'preference': 2}","{'rating': 4, 'preference': 2}"
gbeason155,Griselda,Beason,20,"{'rating': 3, 'preference': 2}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 2, 'preference': 4}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 2}"
glasage448,Gustavo,Lasage,25,"{'rating': 1, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 3, 'preference': 4}","{'rating': 2, 'preference': 4}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 3}","{'rating': 2, 'preference': 5}"
ssommer22,Shante,Sommer,5,"{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 5}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 2, 'preference': 4}"
kishizu489,Kenny,Ishizu,5,"{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 4}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 4}","{'rating': 5, 'preference': 1}"
eenglebrec188,Enrique,Englebrecht,5,"{'rating': 2, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 1}","{'rating': 5, 'preference': 3}","{'rating': 4, 'preference': 2}","{'rating': 2, 'preference': 5}"
vbeverley769,Von,Beverley,20,"{'rating': 2, 'preference': 2}","{'rating': 4, 'preference': 3}","{'rating': 4, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 4}","{'rating': 1, 'preference': 3}","{'rating': 2, 'preference': 2}"
eargentier117,Edna,Argentieri,30,"{'rating': 4, 'preference': 1}","{'rating': 3, 'preference': 4}","{'rating': 1, 'preference': 4}","{'rating': 3, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 5, 'preference': 1}","{'rating': 2, 'preference': 4}"
rellsbury367,Reyes,Ellsbury,30,"{'rating': 2, 'preference': 3}","{'rating': 2, 'preference': 1}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 2}","{'rating': 1, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 5}"
mpataki883,Mitchel,Pataki,15,"{'rating': 3, 'preference': 1}","{'rating': 1, 'preference': 1}","{'rating': 5, 'preference': 5}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 5}","{'rating': 2, 'preference': 1}","{'rating': 2, 'preference': 2}"
schrisman880,Sun,Chrisman,30,"{'rating': 1, 'preference': 2}","{'rating': 1, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 5, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 1}"
dgraffam288,Deb,Graffam,5,"{'rating': 5, 'preference': 5}","{'rating': 3, 'preference': 3}","{'rating': 5, 'preference': 1}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 5}","{'rating': 3, 'preference': 1}","{'rating': 5, 'preference': 2}"
sdembroski298,Shizue,Dembroski,30,"{'rating': 3, 'preference': 1}","{'rating': 2, 'preference': 5}","{'rating': 3, 'preference': 2}","{'rating': 3, 'preference': 3}","{'rating': 3, 'preference': 1}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 4}"
lrieland42,Lonnie,Rieland,25,"{'rating': 4, 'preference': 3}","{'rating': 1, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 4}","{'rating': 4, 'preference': 5}","{'rating': 3, 'preference': 1}","{'rating': 2, 'preference': 3}"
wsetters294,Wade,Setters,25,"{'rating': 3, 'preference': 3}","{'rating': 1, 'preference': 3}","{'rating': 2, 'preference': 5}","{'rating': 2, 'preference': 3}","{'rating': 1, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 4}"
mabrego589,Marvin,Abrego,20,"{'rating': 2, 'preference': 2}","{'rating': 2, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 1, 'preference': 4}","{'rating': 1, 'preference': 4}","{'rating': 1, 'preference': 3}","{'rating': 4, 'preference': 3}"
theye592,Tad,Heye,25,"{'rating': 2, 'preference': 2}","{'rating': 5, 'preference': 3}","{'rating': 3, 'preference': 1}","{'rating': 1, 'preference': 5}","{'rating': 3, 'preference': 5}","{'rating': 1, 'preference': 2}","{'rating': 5, 'preference': 1}"
aszoke893,Aurelio,Szoke,20,"{'rating': 3, 'preference': 1}","{'rating': 3, 'preference': 2}","{'rating': 4, 'preference': 4}","{'rating': 2, 'preference': 2}","{'rating': 4, 'preference': 1}","{'rating': 4, 'preference': 2}","{'rating': 5, 'preference': 1}"
ibruschi59,Ike,Bruschi,30,"{'rating': 3, 'preference': 5}","{'rating': 3, 'preference': 4}","{'rating': 5, 'preference': 5}","{'rating': 2, 'preference': 5}","{'rating': 1, 'preference': 5}","{'rating': 1, 'preference': 1}","{'rating': 4, 'preference': 4}"
